24, State-gov, 43997, 12th, 1, Widowed, Craft-repair, Own-child, White, Male, 3472, 66, 46, Guatemala, >50K
31, Never-worked, 16298, Prof-school, 16, Widowed, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 8372, 81, 55, Laos, >50K
26, Local-gov, 50833, Preschool, 1, Separated, Farming-fishing, Wife, Asian-Pac-Islander, Female, 7441, 68, 33, Japan, >50K
51, Self-emp-not-inc, 84866, Assoc-voc, 16, Married-spouse-absent, Adm-clerical, Wife, Other, Male, 3755, 96, 20, Outlying-US(Guam-USVI-etc), <=50K
34, Federal-gov, 15587, HS-grad, 14, Married-civ-spouse, Other-service, Wife, Other, Female, 7987, 30, 33, Laos, <=50K
27, Local-gov, 27865, Some-college, 3, Divorced, Machine-op-inspct, Unmarried, Amer-Indian-Eskimo, Male, 2180, 85, 54, Philippines, <=50K
37, Private, 49340, Masters, 13, Widowed, Craft-repair, Husband, Amer-Indian-Eskimo, Female, 3022, 18, 52, Cambodia, <=50K
38, Never-worked, 53434, HS-grad, 10, Married-AF-spouse, Farming-fishing, Not-in-family, Asian-Pac-Islander, Female, 3370, 84, 39, Germany, <=50K
52, Never-worked, 21496, Masters, 11, Widowed, Sales, Wife, Amer-Indian-Eskimo, Female, 9005, 90, 60, Dominican-Republic, <=50K
31, Federal-gov, 38618, Assoc-voc, 7, Married-spouse-absent, Machine-op-inspct, Wife, Asian-Pac-Islander, Male, 1489, 51, 50, Italy, <=50K
44, Local-gov, 75494, Preschool, 11, Married-AF-spouse, Craft-repair, Unmarried, Black, Female, 8629, 27, 51, Cambodia, >50K
37, Self-emp-not-inc, 17924, 11th, 6, Married-spouse-absent, Handlers-cleaners, Husband, Amer-Indian-Eskimo, Female, 8858, 97, 29, Portugal, >50K
28, Federal-gov, 84367, Doctorate, 3, Separated, Armed-Forces, Own-child, Black, Female, 6516, 59, 55, Germany, <=50K
46, Local-gov, 95463, Assoc-acdm, 5, Divorced, Farming-fishing, Other-relative, Other, Female, 2970, 93, 59, Jamaica, >50K
22, Local-gov, 83249, 7th-8th, 4, Married-spouse-absent, Craft-repair, Not-in-family, Other, Female, 7875, 61, 26, Columbia, >50K
37, Private, 21509, Bachelors, 16, Widowed, Farming-fishing, Husband, Black, Male, 8439, 48, 48, Iran, <=50K
23, State-gov, 20122, Masters, 14, Widowed, Exec-managerial, Wife, Other, Female, 7808, 26, 26, Germany, >50K
43, Local-gov, 57822, 11th, 11, Married-spouse-absent, Armed-Forces, Unmarried, Amer-Indian-Eskimo, Female, 5567, 73, 29, Dominican-Republic, >50K
34, Local-gov, 85705, 9th, 8, Married-AF-spouse, Craft-repair, Husband, Asian-Pac-Islander, Female, 5466, 27, 44, Thailand, <=50K
51, Federal-gov, 41617, Assoc-voc, 10, Married-spouse-absent, Other-service, Unmarried, Asian-Pac-Islander, Female, 3220, 40, 58, Outlying-US(Guam-USVI-etc), >50K
44, Federal-gov, 86976, 5th-6th, 1, Married-civ-spouse, Exec-managerial, Husband, Other, Female, 4600, 48, 56, Greece, <=50K
27, Private, 17310, 5th-6th, 1, Married-AF-spouse, Transport-moving, Not-in-family, Asian-Pac-Islander, Female, 7225, 3, 22, Guatemala, >50K
30, Never-worked, 84579, Masters, 16, Married-AF-spouse, Handlers-cleaners, Other-relative, Black, Male, 9451, 97, 49, India, >50K
36, Local-gov, 23078, Preschool, 14, Separated, Prof-specialty, Unmarried, Asian-Pac-Islander, Male, 2054, 75, 21, El-Salvador, <=50K
41, Local-gov, 45926, 9th, 3, Never-married, Protective-serv, Not-in-family, Asian-Pac-Islander, Female, 8568, 29, 49, Ecuador, <=50K
26, State-gov, 69965, 12th, 15, Married-civ-spouse, Adm-clerical, Unmarried, Asian-Pac-Islander, Male, 3168, 58, 29, Ireland, <=50K
61, Private, 31241, 9th, 3, Married-spouse-absent, Farming-fishing, Husband, Asian-Pac-Islander, Female, 7250, 58, 45, Holand-Netherlands, <=50K
54, State-gov, 35034, 1st-4th, 8, Married-civ-spouse, Craft-repair, Not-in-family, Asian-Pac-Islander, Male, 1051, 15, 28, France, <=50K
27, Never-worked, 67371, Prof-school, 7, Married-civ-spouse, Exec-managerial, Wife, Black, Male, 8516, 48, 20, Cambodia, >50K
60, Private, 43698, 9th, 14, Never-married, Transport-moving, Wife, Black, Male, 5383, 39, 49, Ireland, >50K
28, Local-gov, 42991, Bachelors, 11, Never-married, Armed-Forces, Not-in-family, Asian-Pac-Islander, Male, 6593, 0, 55, United-States, >50K
52, State-gov, 52237, 5th-6th, 14, Married-AF-spouse, Sales, Not-in-family, Black, Male, 9318, 38, 42, Ireland, <=50K
20, Federal-gov, 50283, Some-college, 9, Married-spouse-absent, Farming-fishing, Own-child, White, Male, 5485, 56, 57, Thailand, >50K
28, Without-pay, 28038, Preschool, 11, Married-spouse-absent, Machine-op-inspct, Other-relative, Asian-Pac-Islander, Female, 4154, 77, 35, Guatemala, <=50K
23, Never-worked, 30477, Masters, 2, Widowed, Prof-specialty, Wife, Amer-Indian-Eskimo, Female, 8426, 66, 21, Peru, >50K
18, Never-worked, 70686, Assoc-acdm, 10, Widowed, Prof-specialty, Wife, Other, Female, 9349, 59, 43, Poland, >50K
18, State-gov, 34824, Bachelors, 8, Married-AF-spouse, Tech-support, Unmarried, Other, Female, 8906, 26, 46, South, <=50K
61, Without-pay, 87186, 5th-6th, 5, Married-AF-spouse, Exec-managerial, Unmarried, Other, Male, 4007, 20, 35, Iran, >50K
34, Local-gov, 28840, 10th, 8, Married-civ-spouse, Adm-clerical, Own-child, White, Female, 866, 73, 22, Philippines, <=50K
36, Without-pay, 65008, Doctorate, 5, Married-civ-spouse, Handlers-cleaners, Other-relative, Other, Male, 5956, 56, 48, Cuba, >50K
40, Never-worked, 86012, 11th, 2, Widowed, Transport-moving, Other-relative, Black, Female, 3076, 70, 27, Japan, <=50K
24, State-gov, 38612, Assoc-acdm, 9, Divorced, Machine-op-inspct, Own-child, Black, Male, 9734, 17, 33, Outlying-US(Guam-USVI-etc), <=50K
46, Self-emp-not-inc, 12607, 1st-4th, 12, Married-spouse-absent, Prof-specialty, Other-relative, Other, Female, 1170, 0, 60, Thailand, >50K
39, Never-worked, 36268, 1st-4th, 5, Widowed, Farming-fishing, Wife, Other, Female, 2110, 27, 55, South, <=50K
20, Without-pay, 53211, 9th, 6, Widowed, Craft-repair, Husband, White, Female, 7924, 38, 38, Thailand, >50K
32, Never-worked, 48103, Doctorate, 12, Widowed, Tech-support, Other-relative, Black, Male, 9151, 38, 41, Scotland, <=50K
62, Private, 62166, 7th-8th, 8, Married-civ-spouse, Other-service, Own-child, Asian-Pac-Islander, Female, 5787, 56, 46, Philippines, <=50K
22, Federal-gov, 95804, 1st-4th, 16, Divorced, Protective-serv, Not-in-family, Asian-Pac-Islander, Female, 753, 75, 40, Portugal, >50K
22, Self-emp-not-inc, 94533, 11th, 4, Never-married, Handlers-cleaners, Not-in-family, Amer-Indian-Eskimo, Female, 286, 55, 40, Peru, >50K
54, Never-worked, 41535, 11th, 12, Never-married, Other-service, Own-child, Amer-Indian-Eskimo, Female, 9668, 31, 42, Vietnam, >50K
56, Private, 60238, Assoc-voc, 3, Never-married, Exec-managerial, Husband, Amer-Indian-Eskimo, Female, 3618, 61, 38, France, >50K
50, Federal-gov, 13186, 10th, 1, Married-AF-spouse, Transport-moving, Wife, Other, Male, 2776, 20, 60, Italy, <=50K
45, State-gov, 51741, Assoc-acdm, 13, Divorced, Protective-serv, Not-in-family, Black, Male, 50, 21, 54, Honduras, <=50K
37, Never-worked, 31716, Some-college, 3, Divorced, Priv-house-serv, Own-child, Black, Female, 108, 13, 57, Ecuador, >50K
37, Federal-gov, 94947, 5th-6th, 12, Married-civ-spouse, Farming-fishing, Own-child, White, Female, 1166, 90, 44, Haiti, >50K
39, State-gov, 59789, 10th, 15, Married-AF-spouse, Armed-Forces, Own-child, Amer-Indian-Eskimo, Female, 4342, 79, 43, Cambodia, >50K
50, Federal-gov, 54766, 9th, 4, Widowed, Protective-serv, Not-in-family, Other, Male, 2569, 87, 24, Haiti, >50K
51, State-gov, 85793, Assoc-voc, 4, Separated, Armed-Forces, Unmarried, Other, Female, 1706, 6, 39, Japan, >50K
33, Never-worked, 75418, 10th, 16, Married-AF-spouse, Armed-Forces, Wife, White, Male, 5883, 85, 35, Nicaragua, >50K
31, Federal-gov, 43662, Some-college, 8, Widowed, Protective-serv, Own-child, Other, Male, 9535, 77, 29, Ecuador, <=50K
65, Never-worked, 79075, 1st-4th, 7, Never-married, Tech-support, Own-child, Asian-Pac-Islander, Male, 5144, 87, 48, Nicaragua, <=50K
29, Self-emp-not-inc, 18163, Bachelors, 2, Widowed, Transport-moving, Husband, Black, Female, 595, 13, 30, Mexico, <=50K
57, Self-emp-not-inc, 18775, 9th, 11, Separated, Prof-specialty, Not-in-family, Amer-Indian-Eskimo, Male, 6597, 0, 25, Peru, <=50K
33, Local-gov, 68855, Some-college, 3, Widowed, Transport-moving, Husband, Black, Male, 3579, 32, 34, Scotland, >50K
48, Without-pay, 54999, 10th, 13, Widowed, Transport-moving, Own-child, Black, Female, 1822, 0, 26, Scotland, <=50K
42, State-gov, 22205, 7th-8th, 9, Married-spouse-absent, Tech-support, Own-child, Amer-Indian-Eskimo, Female, 7061, 37, 37, Trinadad&Tobago, >50K
45, Federal-gov, 93610, HS-grad, 13, Married-spouse-absent, Adm-clerical, Husband, White, Female, 7206, 13, 32, Puerto-Rico, >50K
53, Private, 27977, Assoc-voc, 11, Divorced, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male, 3849, 25, 38, Portugal, <=50K
36, Self-emp-not-inc, 42337, Assoc-acdm, 14, Never-married, Transport-moving, Unmarried, Asian-Pac-Islander, Female, 3397, 70, 56, Poland, <=50K
61, State-gov, 14409, HS-grad, 10, Married-AF-spouse, Adm-clerical, Other-relative, Amer-Indian-Eskimo, Male, 2095, 51, 34, Jamaica, <=50K
23, Private, 35640, 5th-6th, 6, Separated, Prof-specialty, Husband, Other, Female, 3606, 60, 58, Iran, <=50K
57, Never-worked, 40576, Masters, 8, Divorced, Adm-clerical, Other-relative, Black, Female, 2372, 19, 60, Outlying-US(Guam-USVI-etc), <=50K
35, Local-gov, 49450, 7th-8th, 4, Married-AF-spouse, Craft-repair, Not-in-family, Other, Female, 2255, 96, 34, Outlying-US(Guam-USVI-etc), >50K
20, Self-emp-not-inc, 52399, Some-college, 11, Widowed, Prof-specialty, Other-relative, White, Male, 1100, 4, 38, Ecuador, <=50K
23, Federal-gov, 82980, Assoc-acdm, 4, Divorced, Prof-specialty, Unmarried, Black, Male, 8111, 70, 38, Honduras, >50K
19, Private, 23532, Bachelors, 15, Married-spouse-absent, Machine-op-inspct, Own-child, White, Male, 3677, 35, 47, Philippines, >50K
45, Self-emp-not-inc, 66956, HS-grad, 12, Never-married, Farming-fishing, Unmarried, Asian-Pac-Islander, Female, 8058, 76, 47, Columbia, >50K
25, Private, 96570, Preschool, 10, Married-AF-spouse, Craft-repair, Husband, Black, Female, 2813, 99, 39, Hungary, >50K
41, Local-gov, 84131, 5th-6th, 16, Married-spouse-absent, Craft-repair, Own-child, Amer-Indian-Eskimo, Female, 2433, 55, 31, Vietnam, >50K
19, State-gov, 25747, HS-grad, 15, Separated, Farming-fishing, Husband, White, Male, 3412, 81, 42, Hungary, <=50K
65, Without-pay, 74559, Bachelors, 10, Married-spouse-absent, Other-service, Husband, Black, Male, 4483, 24, 27, Philippines, <=50K
26, Private, 89393, Preschool, 1, Separated, Transport-moving, Husband, Other, Male, 6299, 59, 45, Cambodia, >50K
61, Without-pay, 38778, Doctorate, 3, Divorced, Farming-fishing, Own-child, Black, Male, 8851, 74, 26, Philippines, >50K
41, Never-worked, 48779, 12th, 16, Never-married, Farming-fishing, Wife, White, Male, 3712, 93, 59, Canada, <=50K
22, Never-worked, 75757, Masters, 12, Married-civ-spouse, Craft-repair, Other-relative, Other, Female, 8660, 45, 42, Canada, >50K
56, Self-emp-not-inc, 32318, Doctorate, 13, Married-AF-spouse, Exec-managerial, Not-in-family, Asian-Pac-Islander, Male, 2474, 80, 31, Outlying-US(Guam-USVI-etc), <=50K
46, Never-worked, 85514, Prof-school, 11, Married-spouse-absent, Handlers-cleaners, Unmarried, Black, Female, 4669, 60, 42, Ireland, >50K
60, State-gov, 85920, Bachelors, 8, Married-spouse-absent, Prof-specialty, Unmarried, Amer-Indian-Eskimo, Female, 1102, 30, 45, Portugal, >50K
64, Local-gov, 41812, Some-college, 13, Married-AF-spouse, Other-service, Husband, White, Female, 4443, 15, 37, China, >50K
41, Private, 42797, HS-grad, 2, Married-spouse-absent, Priv-house-serv, Not-in-family, White, Male, 4897, 0, 31, Taiwan, >50K
41, Without-pay, 86753, 9th, 16, Divorced, Exec-managerial, Not-in-family, Other, Female, 6272, 60, 60, Mexico, >50K
36, Local-gov, 63538, Bachelors, 12, Married-spouse-absent, Farming-fishing, Wife, Other, Male, 3711, 33, 31, Honduras, <=50K
38, Federal-gov, 53524, Assoc-voc, 9, Married-civ-spouse, Protective-serv, Own-child, White, Male, 7584, 61, 51, Nicaragua, >50K
54, Private, 65980, Masters, 8, Married-spouse-absent, Armed-Forces, Other-relative, Black, Female, 4556, 58, 26, Dominican-Republic, <=50K
47, Self-emp-not-inc, 53587, Assoc-voc, 7, Widowed, Machine-op-inspct, Not-in-family, Amer-Indian-Eskimo, Male, 8061, 20, 36, Holand-Netherlands, >50K
38, Private, 85005, Doctorate, 16, Widowed, Armed-Forces, Husband, Amer-Indian-Eskimo, Male, 478, 86, 32, Iran, >50K
27, Private, 19571, Bachelors, 2, Married-AF-spouse, Exec-managerial, Unmarried, Other, Male, 3765, 13, 25, Peru, >50K
32, State-gov, 62412, Bachelors, 7, Divorced, Protective-serv, Other-relative, Amer-Indian-Eskimo, Female, 1126, 31, 54, Taiwan, >50K
51, Self-emp-not-inc, 76289, Some-college, 9, Married-civ-spouse, Other-service, Other-relative, Amer-Indian-Eskimo, Male, 9651, 55, 39, Taiwan, <=50K
40, Local-gov, 94779, 10th, 3, Married-civ-spouse, Tech-support, Not-in-family, Asian-Pac-Islander, Female, 1303, 8, 57, Cuba, >50K
60, State-gov, 90016, Assoc-voc, 13, Never-married, Craft-repair, Unmarried, White, Male, 6708, 66, 21, Taiwan, >50K
54, Without-pay, 42740, 12th, 16, Separated, Farming-fishing, Wife, Black, Male, 8719, 94, 49, Hungary, <=50K
60, State-gov, 28298, 7th-8th, 6, Married-spouse-absent, Protective-serv, Other-relative, White, Female, 8216, 38, 55, Haiti, >50K
56, Federal-gov, 79761, HS-grad, 4, Never-married, Armed-Forces, Other-relative, White, Male, 4986, 91, 48, Germany, <=50K
27, Local-gov, 48909, Assoc-voc, 4, Married-spouse-absent, Tech-support, Unmarried, Other, Male, 5107, 57, 33, Taiwan, <=50K
50, Self-emp-not-inc, 13988, HS-grad, 1, Divorced, Transport-moving, Other-relative, Asian-Pac-Islander, Female, 159, 17, 24, Puerto-Rico, >50K
52, Without-pay, 96514, 10th, 5, Married-civ-spouse, Machine-op-inspct, Not-in-family, Other, Female, 3091, 25, 34, Vietnam, >50K
50, State-gov, 25836, Masters, 15, Married-civ-spouse, Other-service, Wife, Black, Female, 8654, 52, 24, Cambodia, >50K
26, State-gov, 85296, 7th-8th, 12, Married-civ-spouse, Handlers-cleaners, Other-relative, Other, Male, 9388, 0, 30, Cuba, >50K
56, Federal-gov, 52935, HS-grad, 15, Divorced, Prof-specialty, Not-in-family, White, Female, 6330, 22, 29, Holand-Netherlands, >50K
25, Local-gov, 95847, Preschool, 16, Never-married, Prof-specialty, Other-relative, Black, Female, 79, 81, 47, Outlying-US(Guam-USVI-etc), <=50K
42, Without-pay, 50177, 10th, 9, Never-married, Priv-house-serv, Other-relative, Amer-Indian-Eskimo, Female, 81, 5, 47, China, <=50K
47, Private, 91362, Assoc-voc, 11, Married-civ-spouse, Exec-managerial, Husband, Black, Female, 9552, 51, 22, Poland, >50K
37, Never-worked, 86470, Masters, 5, Married-civ-spouse, Handlers-cleaners, Wife, White, Female, 1848, 22, 33, England, <=50K
50, Federal-gov, 52863, 1st-4th, 10, Married-AF-spouse, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Female, 6521, 52, 60, United-States, <=50K
44, Self-emp-not-inc, 15750, 5th-6th, 11, Separated, Craft-repair, Own-child, Amer-Indian-Eskimo, Male, 1130, 85, 42, Ecuador, <=50K
52, Self-emp-not-inc, 26182, Prof-school, 6, Divorced, Armed-Forces, Own-child, Asian-Pac-Islander, Male, 7605, 66, 34, Canada, >50K
36, Never-worked, 56201, 5th-6th, 2, Married-spouse-absent, Sales, Husband, Other, Female, 3167, 18, 48, Canada, <=50K
26, Local-gov, 57671, Doctorate, 16, Married-AF-spouse, Transport-moving, Own-child, Black, Female, 3298, 29, 30, Dominican-Republic, <=50K
18, Private, 52463, Preschool, 8, Widowed, Exec-managerial, Not-in-family, White, Male, 5133, 44, 59, Dominican-Republic, <=50K
39, Federal-gov, 64046, Some-college, 7, Separated, Prof-specialty, Wife, Amer-Indian-Eskimo, Male, 6840, 6, 46, Hungary, >50K
19, Local-gov, 37804, 9th, 10, Married-civ-spouse, Prof-specialty, Own-child, Other, Female, 3406, 86, 40, Holand-Netherlands, >50K
19, Private, 94214, 12th, 7, Married-civ-spouse, Priv-house-serv, Unmarried, Other, Male, 1279, 42, 29, Honduras, >50K
19, Private, 83628, Assoc-voc, 7, Married-spouse-absent, Machine-op-inspct, Not-in-family, White, Female, 8236, 91, 21, Hong, >50K
21, Self-emp-not-inc, 90740, Doctorate, 7, Never-married, Handlers-cleaners, Wife, Amer-Indian-Eskimo, Female, 1967, 70, 53, Columbia, >50K
27, Federal-gov, 98202, Doctorate, 5, Separated, Armed-Forces, Wife, Other, Male, 4722, 54, 31, Taiwan, <=50K
61, Local-gov, 33259, Assoc-voc, 1, Separated, Farming-fishing, Other-relative, Asian-Pac-Islander, Male, 3298, 45, 23, Honduras, <=50K
37, Never-worked, 70888, 10th, 6, Separated, Priv-house-serv, Own-child, Asian-Pac-Islander, Male, 746, 1, 42, Canada, <=50K
49, Never-worked, 16686, 12th, 12, Married-civ-spouse, Farming-fishing, Unmarried, White, Male, 7590, 52, 56, Philippines, <=50K
39, Never-worked, 44187, 9th, 14, Married-spouse-absent, Prof-specialty, Unmarried, Asian-Pac-Islander, Male, 6886, 77, 54, El-Salvador, <=50K
32, Local-gov, 65493, 10th, 8, Never-married, Tech-support, Other-relative, White, Female, 2439, 26, 57, England, >50K
37, Federal-gov, 15390, Assoc-voc, 7, Married-AF-spouse, Priv-house-serv, Husband, White, Male, 2606, 16, 27, Ireland, >50K
32, Never-worked, 16221, 12th, 6, Widowed, Armed-Forces, Other-relative, Amer-Indian-Eskimo, Male, 5325, 17, 53, Puerto-Rico, >50K
56, Private, 73553, Bachelors, 3, Widowed, Machine-op-inspct, Wife, Other, Male, 6777, 33, 54, Laos, >50K
58, Never-worked, 25621, 10th, 3, Married-civ-spouse, Transport-moving, Other-relative, Other, Female, 8980, 35, 41, Peru, >50K
33, Self-emp-not-inc, 66472, 12th, 9, Separated, Sales, Other-relative, Black, Male, 4901, 27, 45, Jamaica, <=50K
44, State-gov, 99968, 1st-4th, 2, Separated, Tech-support, Other-relative, Other, Female, 1616, 82, 26, India, <=50K
42, Private, 87396, Doctorate, 11, Divorced, Sales, Not-in-family, White, Male, 8547, 50, 38, Haiti, <=50K
37, Self-emp-not-inc, 94297, Assoc-acdm, 15, Married-spouse-absent, Farming-fishing, Husband, Asian-Pac-Islander, Female, 5405, 37, 35, Yugoslavia, <=50K
24, Never-worked, 44790, 12th, 11, Married-AF-spouse, Farming-fishing, Own-child, Asian-Pac-Islander, Female, 8772, 65, 23, Philippines, <=50K
48, State-gov, 81048, 9th, 9, Never-married, Adm-clerical, Wife, White, Female, 9660, 58, 48, China, <=50K
29, State-gov, 18992, 11th, 7, Married-AF-spouse, Farming-fishing, Unmarried, Asian-Pac-Islander, Male, 4826, 25, 48, Scotland, <=50K
29, Private, 22506, HS-grad, 13, Divorced, Priv-house-serv, Husband, Asian-Pac-Islander, Female, 1091, 37, 30, Jamaica, >50K
28, State-gov, 81279, 10th, 5, Separated, Machine-op-inspct, Own-child, Amer-Indian-Eskimo, Male, 858, 67, 25, Puerto-Rico, >50K
31, Without-pay, 65180, 10th, 1, Separated, Adm-clerical, Not-in-family, Black, Female, 9434, 35, 51, Germany, <=50K
59, State-gov, 45285, 7th-8th, 7, Divorced, Sales, Own-child, Asian-Pac-Islander, Female, 8622, 85, 38, Haiti, <=50K
27, Without-pay, 82923, Prof-school, 4, Married-civ-spouse, Other-service, Not-in-family, Black, Male, 9180, 24, 23, Italy, <=50K
61, Local-gov, 49306, 7th-8th, 8, Divorced, Exec-managerial, Other-relative, Black, Male, 2506, 47, 40, Italy, >50K
44, Never-worked, 32222, Some-college, 16, Separated, Other-service, Husband, White, Male, 3395, 85, 28, Yugoslavia, <=50K
36, Federal-gov, 71131, 11th, 15, Married-AF-spouse, Protective-serv, Unmarried, Other, Male, 1458, 84, 58, Haiti, >50K
43, Private, 12875, 10th, 15, Widowed, Protective-serv, Not-in-family, Asian-Pac-Islander, Female, 2323, 45, 32, Haiti, >50K
36, Local-gov, 74605, HS-grad, 2, Separated, Exec-managerial, Unmarried, White, Male, 8101, 50, 35, Trinadad&Tobago, <=50K
54, Never-worked, 72021, Prof-school, 9, Married-AF-spouse, Machine-op-inspct, Not-in-family, Other, Male, 3384, 14, 45, Japan, <=50K
25, Local-gov, 91603, 11th, 14, Separated, Priv-house-serv, Other-relative, Amer-Indian-Eskimo, Male, 1283, 28, 42, El-Salvador, <=50K
62, Local-gov, 98291, 12th, 1, Married-spouse-absent, Handlers-cleaners, Other-relative, Amer-Indian-Eskimo, Male, 6344, 96, 39, Mexico, <=50K
22, Never-worked, 33010, 9th, 16, Married-spouse-absent, Priv-house-serv, Other-relative, Amer-Indian-Eskimo, Male, 723, 17, 55, Ecuador, <=50K
35, Federal-gov, 78082, Preschool, 15, Divorced, Craft-repair, Not-in-family, Amer-Indian-Eskimo, Male, 1188, 9, 38, Vietnam, <=50K
64, Never-worked, 67526, 1st-4th, 5, Married-spouse-absent, Farming-fishing, Unmarried, White, Female, 2746, 37, 26, Puerto-Rico, <=50K
25, Local-gov, 36047, Assoc-acdm, 2, Never-married, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Female, 3021, 25, 22, Trinadad&Tobago, <=50K
54, Never-worked, 45814, 9th, 2, Never-married, Prof-specialty, Own-child, White, Male, 3414, 53, 58, El-Salvador, <=50K
65, Federal-gov, 20403, 7th-8th, 2, Divorced, Tech-support, Wife, White, Female, 5282, 12, 23, Canada, <=50K
49, Local-gov, 11773, Assoc-acdm, 3, Divorced, Armed-Forces, Other-relative, Amer-Indian-Eskimo, Male, 3595, 82, 26, Scotland, <=50K
46, Never-worked, 28014, 9th, 2, Married-AF-spouse, Prof-specialty, Unmarried, White, Male, 9244, 1, 56, Holand-Netherlands, >50K
49, Without-pay, 91687, Assoc-voc, 15, Never-married, Farming-fishing, Unmarried, White, Female, 1700, 48, 26, Cuba, <=50K
34, Local-gov, 10061, HS-grad, 8, Married-AF-spouse, Exec-managerial, Unmarried, Black, Female, 1044, 3, 22, France, <=50K
42, Self-emp-not-inc, 96634, Bachelors, 4, Widowed, Priv-house-serv, Unmarried, Amer-Indian-Eskimo, Female, 7589, 87, 20, China, >50K
55, Never-worked, 65518, 1st-4th, 2, Separated, Prof-specialty, Other-relative, Asian-Pac-Islander, Male, 6353, 27, 20, Columbia, <=50K
64, Never-worked, 32824, HS-grad, 3, Separated, Other-service, Unmarried, Asian-Pac-Islander, Male, 1282, 41, 47, England, <=50K
63, Never-worked, 10314, Doctorate, 15, Married-spouse-absent, Machine-op-inspct, Wife, Other, Female, 1939, 33, 27, Japan, >50K
58, State-gov, 79138, 11th, 13, Married-AF-spouse, Armed-Forces, Wife, Asian-Pac-Islander, Male, 157, 51, 47, Nicaragua, <=50K
59, State-gov, 37976, Bachelors, 8, Married-spouse-absent, Prof-specialty, Other-relative, Amer-Indian-Eskimo, Male, 1869, 95, 24, El-Salvador, <=50K
24, Never-worked, 87885, Bachelors, 2, Never-married, Sales, Other-relative, White, Female, 2891, 28, 33, Hong, <=50K
51, Federal-gov, 89081, HS-grad, 3, Married-AF-spouse, Craft-repair, Own-child, Other, Male, 9886, 78, 58, Portugal, >50K
